age,annual_income,monthly_savings,emergency_fund,risk_appetite,investment_goal,existing_investment_pct,debt_allocation,equity_allocation,mutual_fund_allocation
35,2536499,67961,135922,Medium,Wealth Creation,0.1,14.83,65.47,19.7
24,300000,3320,12455,High,Tax Saving,0.073,8.44,51.81,39.75
44,984909,18425,139558,Medium,Retirement,0.075,11.54,50.78,37.68
25,344013,5527,36252,High,Short-Term,0.093,26.06,45.69,28.25
29,985097,16847,33694,Medium,Tax Saving,0.123,4.63,57.88,37.48
38,345885,5027,27904,Low,Education,0.172,33.86,34.26,31.88
22,620186,11150,46994,High,Wealth Creation,0.047,12.91,67.05,20.03
33,545079,6490,19534,Low,Short-Term,0.047,35.56,27.75,36.69
42,651073,11863,23727,Low,Tax Saving,0.229,22.16,37.24,40.6
19,300000,4908,29665,Low,Retirement,0.109,20.35,54.58,25.07
33,595314,11217,26589,Medium,Tax Saving,0.254,4.79,57.96,37.25
34,1537295,26603,53207,Medium,Emergency Fund,0.072,4.71,57.39,37.89
38,892769,13583,44051,Low,Tax Saving,0.159,22.88,37.53,39.58
22,732470,9232,18464,Low,Wealth Creation,0.117,14.33,60.58,25.09
21,1319233,26863,88593,Medium,Short-Term,0.099,4.56,34.9,60.54
36,1000884,16295,32590,Medium,Retirement,0.097,4.93,55.28,39.79
34,578830,12644,99250,Medium,Short-Term,0.008,4.83,35.86,59.32
34,1059006,15811,49182,Low,Wealth Creation,0.17,17.23,54.67,28.11
34,591025,7705,37671,Low,Wealth Creation,0.143,18.53,55.05,26.42
26,453653,5127,38819,Medium,Property Purchase,0.303,4.68,59.18,36.14
33,319970,4950,19340,High,Education,0.075,17.43,62.03,20.54
34,1409621,37605,189348,Medium,Wealth Creation,0.215,14.69,67.13,18.18
26,481613,5447,81719,High,Short-Term,0.187,22.64,46.39,30.97
46,1252824,16094,91766,Medium,Education,0.121,13.67,39.24,47.09
35,453721,7582,38208,Low,Education,0.095,31.63,35.79,32.57
22,664731,10262,20525,High,Short-Term,0.083,24.46,42.96,32.58
37,557936,10017,35626,Low,Education,0.043,33.51,37.26,29.23
24,509819,10201,133064,High,Wealth Creation,0.095,10.5,69.31,20.19
38,1536554,40847,200019,High,Retirement,0.082,15.82,62.83,21.34
41,1577759,23004,94548,Low,Emergency Fund,0.024,28.09,41.32,30.59
25,578170,15814,47278,Low,Short-Term,0.097,33.24,29.86,36.9
39,326308,8123,16246,Medium,Tax Saving,0.168,5.04,55.27,39.69
35,3000000,47117,94235,Medium,Retirement,0.086,4.65,55.16,40.19
38,2606586,64425,229049,High,Wealth Creation,0.201,13.82,67.06,19.12
47,1742384,23253,113149,Medium,Wealth Creation,0.04,14.74,56.59,28.67
30,446069,5178,10357,Medium,Short-Term,0.274,4.52,36.26,59.23
25,559771,6853,13706,Medium,Retirement,0.085,4.83,66.15,29.02
24,412921,6815,13630,High,Wealth Creation,0.085,11.65,67.66,20.69
25,1252707,11981,59458,High,Short-Term,0.108,24.49,46.01,29.51
31,859886,10589,45326,Low,Retirement,0.166,20.35,53.4,26.24
34,511141,5381,30050,Medium,Wealth Creation,0.037,15.45,66.82,17.73
34,607170,16800,33601,High,Education,0.036,21.06,57.64,21.3
38,1793840,26704,53409,Medium,Tax Saving,0.038,5.01,56.09,38.9
32,1965679,44637,89275,Low,Wealth Creation,0.064,18.29,57.32,24.39
43,2603610,38671,77343,Low,Wealth Creation,0.171,24.39,47.34,28.27
29,1097843,18523,37046,Medium,Short-Term,0.109,4.69,34.02,61.29
50,1031224,11132,66407,Medium,Wealth Creation,0.043,17.1,51.81,31.08
37,300000,4218,26799,Medium,Retirement,0.156,4.91,55.4,39.69
25,691492,12854,31633,Low,Property Purchase,0.112,20.37,49.55,30.07
23,535233,5799,82289,High,Emergency Fund,0.131,12.57,67.54,19.89
35,920661,13187,92798,High,Emergency Fund,0.023,13.42,66.58,20.0
30,728488,13218,40800,Low,Wealth Creation,0.077,16.39,60.27,23.34
37,402866,5099,13523,Low,Retirement,0.238,32.48,44.12,23.4
35,1180111,30814,92362,Medium,Short-Term,0.155,4.92,34.71,60.37
31,1074693,17807,35614,Medium,Emergency Fund,0.049,4.65,59.86,35.49
25,874398,17853,35707,High,Education,0.199,21.49,59.96,18.55
19,788847,12830,126249,Medium,Wealth Creation,0.185,11.45,67.59,20.96
28,949301,19257,61011,Medium,Short-Term,0.146,4.6,33.3,62.1
38,720356,10465,35756,High,Wealth Creation,0.226,13.39,65.63,20.98
33,759828,8826,43765,Medium,Tax Saving,0.046,4.8,59.77,35.43
22,528998,6420,32702,Medium,Short-Term,0.164,4.62,36.21,59.17
33,837013,16764,143259,High,Retirement,0.189,15.05,65.97,18.97
35,1505397,24962,202868,High,Tax Saving,0.122,10.26,50.84,38.9
24,843437,11465,38344,Medium,Tax Saving,0.013,4.62,59.23,36.15
33,2715291,33253,283526,High,Short-Term,0.156,23.34,44.51,32.15
32,2862233,45063,210213,Low,Education,0.189,29.01,38.28,32.71
22,546928,9872,27441,Medium,Wealth Creation,0.045,11.59,68.9,19.51
34,300000,6270,37558,Low,Retirement,0.086,24.22,47.51,28.26
36,1810823,37767,244854,Medium,Short-Term,0.165,4.74,35.08,60.17
40,698943,16938,75867,Medium,Emergency Fund,0.121,6.66,54.06,39.28
40,593973,6119,28030,Medium,Short-Term,0.171,10.03,31.25,58.73
20,373576,7306,78583,High,Short-Term,0.162,22.73,46.55,30.72
24,430216,6796,29809,Low,Education,0.162,29.74,38.25,32.01
36,1231674,22104,61363,Medium,Tax Saving,0.126,4.95,55.25,39.8
36,334559,5026,10053,Medium,Emergency Fund,0.189,4.94,57.0,38.06
36,446812,4929,15027,Medium,Retirement,0.243,4.83,56.67,38.51
50,1474349,20664,41329,Medium,Tax Saving,0.143,14.58,46.81,38.61
36,1255821,20281,48552,Medium,Wealth Creation,0.193,15.47,66.19,18.34
41,1435871,25832,51664,Medium,Retirement,0.189,8.41,51.77,39.82
39,586697,11368,39892,High,Tax Saving,0.041,12.32,48.77,38.91
37,489448,6002,28167,High,Education,0.06,19.74,60.58,19.67
29,506880,8946,32208,Medium,Education,0.163,4.57,45.09,50.34
38,1041387,21059,102209,Low,Wealth Creation,0.111,22.22,51.17,26.6
25,1451827,27151,54302,High,Short-Term,0.074,23.91,45.4,30.69
30,300000,2849,5699,Medium,Property Purchase,0.125,4.69,59.76,35.55
28,571936,10192,20384,High,Wealth Creation,0.023,13.18,64.92,21.9
32,344489,5008,20481,Low,Retirement,0.187,23.27,51.36,25.37
50,445292,6464,49589,Medium,Retirement,0.182,16.29,46.18,37.53
18,714539,16897,33795,High,Retirement,0.203,15.73,64.71,19.57
37,1230165,26858,128264,Medium,Education,0.073,5.48,44.32,50.2
19,559762,8268,35404,Low,Wealth Creation,0.066,18.09,58.45,23.46
28,1139320,17988,182398,High,Short-Term,0.038,24.88,44.66,30.46
40,725734,9146,67104,Low,Retirement,0.048,35.07,43.28,21.65
32,588446,6459,25984,Low,Education,0.079,28.85,39.78,31.37
23,1983619,44836,672541,Medium,Wealth Creation,0.127,12.9,67.31,19.79
26,523473,13313,47904,Low,Short-Term,0.112,33.64,30.97,35.39
37,1377059,34102,146333,Low,Emergency Fund,0.119,24.95,45.21,29.83
26,606243,17626,142469,High,Education,0.153,18.97,59.05,21.98
33,300000,6086,23613,High,Tax Saving,0.039,8.25,51.6,40.15
32,300000,4805,20372,Low,Property Purchase,0.017,19.65,49.9,30.45
26,437822,8428,19041,High,Tax Saving,0.225,9.42,50.16,40.42
49,2221423,41012,119044,Low,Tax Saving,0.081,28.29,33.58,38.13
37,1407028,28593,398760,High,Wealth Creation,0.151,11.34,68.41,20.25
18,692224,11958,44962,Low,Short-Term,0.035,32.49,27.36,40.15
33,435445,7732,28086,Low,Retirement,0.143,22.99,52.6,24.41
26,1628530,34052,98985,High,Emergency Fund,0.102,13.26,67.47,19.27
38,515927,6602,13205,Medium,Tax Saving,0.182,4.98,58.07,36.95
25,672061,14803,39644,Medium,Wealth Creation,0.034,12.31,67.88,19.81
31,722550,14773,29546,Medium,Short-Term,0.167,4.65,34.64,60.71
36,766691,7684,15369,High,Tax Saving,0.107,10.85,49.86,39.29
38,2061003,41891,166480,Low,Short-Term,0.158,41.15,25.77,33.08
22,334029,8502,65601,Medium,Retirement,0.064,4.63,65.5,29.88
29,303954,4006,15202,Medium,Wealth Creation,0.264,12.72,67.27,20.01
28,662916,14601,82355,Medium,Education,0.059,4.46,45.77,49.77
26,487236,12928,25856,Medium,Wealth Creation,0.05,13.29,66.16,20.55
46,3000000,56965,113931,High,Short-Term,0.099,23.59,42.98,33.43
35,1247042,25837,51675,Low,Tax Saving,0.252,21.16,40.02,38.82
21,389413,4614,10741,Medium,Retirement,0.197,4.72,64.69,30.59
39,495393,10798,21596,Medium,Emergency Fund,0.066,5.18,54.14,40.68
48,380074,7191,14382,Medium,Emergency Fund,0.035,13.0,45.38,41.63
40,517051,12074,33469,Medium,Wealth Creation,0.054,15.48,65.23,19.29
19,477978,11109,30448,High,Tax Saving,0.004,9.59,51.72,38.69
28,1537954,29978,62070,Medium,Wealth Creation,0.017,13.67,68.53,17.8
42,1966764,37246,172846,Medium,Retirement,0.177,6.03,55.43,38.55
26,698124,10592,107410,Medium,Tax Saving,0.073,4.49,55.97,39.53
35,690923,12348,95725,Low,Education,0.066,33.57,34.64,31.79
38,1063309,27123,64932,High,Retirement,0.173,16.53,63.91,19.56
24,413624,7472,25544,High,Wealth Creation,0.09,12.64,65.66,21.7
31,2069559,53601,141761,Medium,Retirement,0.18,4.77,63.99,31.24
18,357076,9033,62660,Medium,Property Purchase,0.109,4.67,59.93,35.4
23,517602,7251,31401,Medium,Wealth Creation,0.011,11.36,68.13,20.51
29,300000,5135,21513,High,Emergency Fund,0.016,13.78,64.88,21.35
22,445070,6318,17521,Low,Wealth Creation,0.277,19.5,55.96,24.54
45,1778177,42861,291175,Low,Education,0.041,41.71,30.56,27.73
20,300000,5526,11585,High,Short-Term,0.065,24.67,44.71,30.62
28,421921,7813,15626,Medium,Wealth Creation,0.133,12.15,67.93,19.91
33,1248839,27338,97910,Medium,Wealth Creation,0.148,13.09,66.12,20.79
43,428076,12324,57884,Medium,Wealth Creation,0.055,14.8,61.64,23.55
20,873086,24804,139384,High,Short-Term,0.138,22.79,48.45,28.77
41,714047,12138,49865,Low,Tax Saving,0.122,24.24,36.64,39.11
32,595652,15543,60047,Low,Tax Saving,0.143,20.26,42.69,37.04
24,300000,6834,13669,Medium,Wealth Creation,0.057,15.61,66.22,18.17
35,1056912,23222,108589,Low,Tax Saving,0.239,21.13,37.38,41.49
33,3000000,89593,221179,Medium,Wealth Creation,0.082,11.49,68.52,19.99
27,1006817,12794,41003,Medium,Tax Saving,0.096,4.65,59.75,35.6
32,454839,7339,59155,Medium,Emergency Fund,0.045,4.81,57.01,38.18
28,1330120,33818,175068,Medium,Property Purchase,0.144,4.52,57.84,37.64
32,638989,10303,29662,Low,Retirement,0.046,23.03,51.79,25.18
37,2012969,41507,83014,Low,Emergency Fund,0.059,24.56,45.2,30.24
44,1731602,25511,51022,Low,Emergency Fund,0.218,31.07,38.21,30.72
22,300000,4819,26766,High,Short-Term,0.177,24.69,44.55,30.76
49,644156,13981,37722,Low,Property Purchase,0.055,34.22,35.64,30.13
18,704928,15761,64445,Medium,Wealth Creation,0.031,15.4,64.03,20.57
30,788198,12280,24560,Medium,Property Purchase,0.125,4.65,58.29,37.06
36,469444,10386,50997,High,Tax Saving,0.188,10.07,51.99,37.94
34,551243,9371,18742,Low,Education,0.077,32.46,36.06,31.48
27,300000,6617,15291,Medium,Wealth Creation,0.118,12.75,67.69,19.56
30,671793,12457,57689,Low,Retirement,0.036,19.67,56.16,24.17
28,2454154,49367,135177,High,Emergency Fund,0.027,14.57,67.76,17.67
27,1024592,18302,60168,Medium,Education,0.12,4.66,46.94,48.4
38,3000000,34444,112840,Medium,Property Purchase,0.263,4.83,54.76,40.4
34,1394724,23249,156029,Low,Retirement,0.038,22.52,52.46,25.01
26,1132597,22328,51819,Low,Tax Saving,0.191,14.23,45.04,40.73
39,3000000,51799,144364,Medium,Tax Saving,0.149,4.87,53.83,41.3
34,1017590,28603,57206,Medium,Property Purchase,0.124,4.65,56.38,38.97
38,815605,18393,36786,Medium,Retirement,0.057,7.47,56.27,36.26
37,1627622,32054,64108,Medium,Short-Term,0.149,7.97,33.43,58.6
25,1397652,27549,55099,High,Wealth Creation,0.15,12.58,65.97,21.45
27,478330,5103,49670,Low,Short-Term,0.038,33.04,29.25,37.71
37,583387,11709,70292,Low,Emergency Fund,0.095,24.93,45.21,29.87
36,947842,20753,251243,Medium,Wealth Creation,0.128,17.2,66.67,16.13
31,1228296,18095,82073,Medium,Wealth Creation,0.067,15.6,64.4,20.0
32,1248546,18421,36843,High,Education,0.185,20.7,60.37,18.92
42,427849,5327,15635,High,Retirement,0.074,16.86,63.75,19.39
27,1988937,26506,85294,Low,Retirement,0.178,20.01,54.13,25.85
36,584968,18644,121176,Medium,Short-Term,0.098,4.84,34.97,60.19
30,605229,13849,53974,Low,Short-Term,0.148,32.35,28.33,39.32
30,411035,8265,16530,Medium,Wealth Creation,0.153,11.9,66.68,21.42
40,3000000,60764,169400,Medium,Short-Term,0.051,9.88,33.55,56.58
38,1058128,29392,97092,Medium,Wealth Creation,0.254,14.01,63.96,22.03
38,547752,13373,30341,Low,Wealth Creation,0.078,20.02,52.22,27.76
42,1697894,17888,39921,Low,Emergency Fund,0.104,29.95,38.16,31.89
32,1196481,16654,62875,Low,Emergency Fund,0.029,22.57,48.62,28.81
37,791968,16514,33028,Medium,Retirement,0.022,4.97,55.71,39.32
29,1139192,21693,43386,High,Wealth Creation,0.114,12.03,68.79,19.18
34,496611,9332,35172,Medium,Wealth Creation,0.145,13.99,64.04,21.97
30,538614,6455,13471,Medium,Retirement,0.081,4.62,63.06,32.32
32,300000,5044,25889,Medium,Short-Term,0.02,4.8,32.36,62.84
36,392685,8535,25967,Low,Tax Saving,0.046,21.18,39.58,39.24
25,1734553,25772,104619,Low,Wealth Creation,0.084,16.92,57.29,25.79
48,3000000,34671,193365,High,Retirement,0.177,14.52,63.8,21.68
23,570892,13233,27366,Low,Retirement,0.068,22.02,54.44,23.54
22,1375523,15717,92420,Low,Tax Saving,0.18,17.47,43.77,38.76
41,891728,20102,172982,Low,Wealth Creation,0.065,22.52,50.49,27.0
38,784906,14080,103582,Medium,Wealth Creation,0.194,15.39,64.15,20.46
36,904994,15833,43086,High,Retirement,0.096,14.81,65.44,19.74
37,812434,18183,64756,Medium,Education,0.137,4.86,44.46,50.68
31,657000,10527,65349,Medium,Tax Saving,0.197,4.67,58.8,36.53
24,1133015,28041,82676,High,Wealth Creation,0.049,12.42,65.95,21.63
32,837287,12520,82899,High,Retirement,0.106,15.21,65.52,19.27
26,942379,19249,183661,Low,Wealth Creation,0.14,18.78,57.92,23.3
39,1754674,26244,52488,Medium,Wealth Creation,0.07,13.86,65.33,20.81
30,909577,17811,35623,Medium,Property Purchase,0.227,4.52,58.73,36.75
25,326777,6943,14348,High,Short-Term,0.117,27.54,41.9,30.56
29,304525,6148,28554,High,Wealth Creation,0.188,15.03,63.59,21.38
35,910328,11123,22247,Low,Retirement,0.123,30.38,43.67,25.95
27,575026,13436,39693,Low,Tax Saving,0.045,18.94,40.95,40.11
25,617078,14720,34791,Medium,Education,0.048,4.74,44.64,50.62
33,791080,16770,33541,Low,Short-Term,0.038,36.15,29.48,34.38
33,3000000,43664,87328,Low,Emergency Fund,0.128,24.46,46.14,29.4
27,300000,5062,24549,High,Education,0.114,19.97,60.16,19.87
28,300000,6537,98062,Medium,Wealth Creation,0.095,13.13,68.35,18.51
33,972179,15501,66013,Low,Wealth Creation,0.117,17.53,58.02,24.45
20,367309,7390,19514,Low,Property Purchase,0.175,20.59,47.92,31.5
20,566338,6350,54606,Low,Wealth Creation,0.132,17.18,59.79,23.04
26,860680,15412,30825,Medium,Short-Term,0.004,4.47,34.14,61.39
30,1528332,38050,119413,High,Property Purchase,0.05,11.88,69.47,18.66
34,328779,3845,8895,Medium,Retirement,0.065,4.81,62.84,32.35
43,748304,9341,21753,Low,Retirement,0.013,36.05,39.87,24.08
38,1191888,17301,59424,Medium,Emergency Fund,0.127,5.17,55.76,39.07
30,1139978,12167,29124,Medium,Retirement,0.085,4.58,63.96,31.47
31,2782371,36256,280972,Medium,Retirement,0.096,4.73,64.04,31.22
23,974983,18651,56697,Low,Wealth Creation,0.15,17.1,57.74,25.16
31,721297,8794,52099,Low,Retirement,0.047,21.03,51.3,27.68
29,405739,6467,31883,Low,Short-Term,0.171,32.99,30.34,36.66
34,580595,12734,100902,Low,Emergency Fund,0.205,23.18,45.88,30.94
25,409618,4900,9800,Low,Tax Saving,0.068,15.56,45.74,38.7
36,1265115,25850,67781,Medium,Short-Term,0.219,4.96,33.33,61.71
44,1232697,30409,206843,Low,Retirement,0.297,36.09,38.8,25.11
31,329129,5828,11657,Medium,Tax Saving,0.154,4.75,58.61,36.64
35,639251,13189,47918,Medium,Retirement,0.094,4.75,55.4,39.85
37,1503472,17169,65187,Medium,Emergency Fund,0.084,6.67,55.26,38.07
28,827087,10459,31614,Medium,Education,0.089,4.53,45.97,49.5
33,1118004,26140,81988,Low,Wealth Creation,0.048,13.79,58.17,28.04
32,946885,10740,23924,High,Wealth Creation,0.249,14.09,64.65,21.26
32,2041918,34549,69099,Medium,Short-Term,0.078,4.69,33.4,61.9
25,685985,10427,20854,High,Tax Saving,0.052,11.27,49.75,38.98
32,598827,12659,54707,Medium,Short-Term,0.124,4.79,35.46,59.75
35,490444,9525,60963,Low,Emergency Fund,0.158,25.95,44.55,29.5
43,1208290,30762,61525,Medium,Emergency Fund,0.082,10.14,50.98,38.88
39,300000,7844,37955,Low,Short-Term,0.167,44.63,26.45,28.92
49,1057048,17131,34263,Medium,Short-Term,0.109,22.17,30.03,47.79
